id_o_nombre,ruta_anterior,ruta_nueva,webp_existe,estado
Afnan9PMNightOut,img/productos/Afnan9PMNightOut.png,img/productos/Afnan9PMNightOut.webp,TRUE,OK_CONVERTIDO
Afnan9PMNightOutDECANTS,img/productos/Afnan9PMNightOutDECANTS.png,img/productos/Afnan9PMNightOutDECANTS.webp,TRUE,OK_CONVERTIDO
Afnan9amDive DECANTS,img/productos/Afnan9amDive DECANTS.png,img/productos/Afnan9amDive DECANTS.webp,TRUE,OK_CONVERTIDO
Afnan9amDive,img/productos/Afnan9amDive.png,img/productos/Afnan9amDive.webp,TRUE,OK_CONVERTIDO
Afnan9pm,img/productos/Afnan9pm.png,img/productos/Afnan9pm.webp,TRUE,OK_CONVERTIDO
Afnan9pmDECANTS,img/productos/Afnan9pmDECANTS.png,img/productos/Afnan9pmDECANTS.webp,TRUE,OK_CONVERTIDO
AfnanTurathiBlue,img/productos/AfnanTurathiBlue.png,img/productos/AfnanTurathiBlue.webp,TRUE,OK_CONVERTIDO
AfnanTurathiBlueDECANTS,img/productos/AfnanTurathiBlueDECANTS.png,img/productos/AfnanTurathiBlueDECANTS.webp,TRUE,OK_CONVERTIDO
ArmafEterArabian,img/productos/ArmafEterArabian.png,img/productos/ArmafEterArabian.webp,TRUE,OK_CONVERTIDO
ArmafEterArabianDECANTS,img/productos/ArmafEterArabianDECANTS.png,img/productos/ArmafEterArabianDECANTS.webp,TRUE,OK_CONVERTIDO
ArmafMandarinSky,img/productos/ArmafMandarinSky.png,img/productos/ArmafMandarinSky.webp,TRUE,OK_CONVERTIDO
ArmafMandarinSkyDECANTS,img/productos/ArmafMandarinSkyDECANTS.png,img/productos/ArmafMandarinSkyDECANTS.webp,TRUE,OK_CONVERTIDO
ArmafOdysseyAqua,img/productos/ArmafOdysseyAqua.png,img/productos/ArmafOdysseyAqua.webp,TRUE,OK_CONVERTIDO
ArmafOdysseyAquaDECANTS,img/productos/ArmafOdysseyAquaDECANTS.png,img/productos/ArmafOdysseyAquaDECANTS.webp,TRUE,OK_CONVERTIDO
ArmafUrbanmanelixir,img/productos/ArmafUrbanmanelixir.png,img/productos/ArmafUrbanmanelixir.webp,TRUE,OK_CONVERTIDO
ArmafUrbanmanelixirDECANTS,img/productos/ArmafUrbanmanelixirDECANTS.png,img/productos/ArmafUrbanmanelixirDECANTS.webp,TRUE,OK_CONVERTIDO
BhararaKing,img/productos/BhararaKing.png,img/productos/BhararaKing.webp,TRUE,OK_CONVERTIDO
BhararaKingDECANTS,img/productos/BhararaKingDECANTS.png,img/productos/BhararaKingDECANTS.webp,TRUE,OK_CONVERTIDO
DumontNitroElixir,img/productos/DumontNitroElixir.png,img/productos/DumontNitroElixir.webp,TRUE,OK_CONVERTIDO
DumontNitroElixirDECANTS,img/productos/DumontNitroElixirDECANTS.png,img/productos/DumontNitroElixirDECANTS.webp,TRUE,OK_CONVERTIDO
DumontNitroRed,img/productos/DumontNitroRed.png,img/productos/DumontNitroRed.webp,TRUE,OK_CONVERTIDO
